year,district,subject,grade,n_tested,pct_met_grade_level,pct_approaches,pct_masters,state_avg_met
2019,Hardin-Jefferson ISD,Social Studies,8,195,62,68,46,66
2019,Beaumont ISD,Algebra I,EOC,690,53,62,37,68
2019,Nederland ISD,Algebra I,EOC,203,77,82,66,70
2019,Port Arthur ISD,Algebra I,EOC,273,49,58,35,67
2019,Hamshire-Fannett ISD,Algebra I,EOC,330,71,81,55,71
2019,Hardin-Jefferson ISD,Algebra I,EOC,432,63,69,51,70
2019,Beaumont ISD,English I,EOC,885,57,65,38,76
2019,Nederland ISD,English I,EOC,361,77,85,67,77
2019,Port Arthur ISD,English I,EOC,274,52,58,33,77
2019,Hamshire-Fannett ISD,English I,EOC,341,77,82,60,72
2019,Hardin-Jefferson ISD,English I,EOC,283,69,76,56,75
2019,Beaumont ISD,English II,EOC,854,63,69,51,77
2019,Nederland ISD,English II,EOC,338,76,84,64,74
2019,Port Arthur ISD,English II,EOC,337,51,57,40,74
2019,Hamshire-Fannett ISD,English II,EOC,261,80,89,61,75
2019,Hardin-Jefferson ISD,English II,EOC,316,69,74,53,76
2019,Beaumont ISD,Biology,EOC,926,54,63,37,70
2019,Nederland ISD,Biology,EOC,416,74,83,56,69
2019,Port Arthur ISD,Biology,EOC,434,49,56,39,70
2019,Hamshire-Fannett ISD,Biology,EOC,150,75,81,65,72
2019,Hardin-Jefferson ISD,Biology,EOC,424,69,74,57,75
2019,Beaumont ISD,U.S. History,EOC,814,63,68,53,78
2019,Nederland ISD,U.S. History,EOC,354,78,83,65,73
2019,Port Arthur ISD,U.S. History,EOC,275,58,66,40,75
2019,Hamshire-Fannett ISD,U.S. History,EOC,452,83,92,69,76
2019,Hardin-Jefferson ISD,U.S. History,EOC,385,69,74,56,76
2021,Beaumont ISD,Math,3,995,42,53,24,58
2021,Nederland ISD,Math,3,332,58,68,42,59
2021,Port Arthur ISD,Math,3,370,40,46,26,56
2021,Hamshire-Fannett ISD,Math,3,281,64,71,47,60
2021,Hardin-Jefferson ISD,Math,3,242,50,59,35,60
2021,Beaumont ISD,Math,4,832,44,50,25,57
2021,Nederland ISD,Math,4,173,60,66,41,61
2021,Port Arthur ISD,Math,4,266,36,45,18,58
2021,Hamshire-Fannett ISD,Math,4,211,66,71,56,55
2021,Hardin-Jefferson ISD,Math,4,360,58,68,44,55
2021,Beaumont ISD,Math,5,867,43,52,30,56
2021,Nederland ISD,Math,5,301,60,68,42,57
2021,Port Arthur ISD,Math,5,416,34,45,24,61
2021,Hamshire-Fannett ISD,Math,5,376,64,74,52,60
2021,Hardin-Jefferson ISD,Math,5,288,56,64,42,55
2021,Beaumont ISD,Math,6,801,45,53,32,56
2021,Nederland ISD,Math,6,239,65,74,47,56
2021,Port Arthur ISD,Math,6,229,36,46,26,57
2021,Hamshire-Fannett ISD,Math,6,438,68,77,56,55
2021,Hardin-Jefferson ISD,Math,6,180,55,62,41,56
2021,Beaumont ISD,Math,7,751,46,51,31,56
2021,Nederland ISD,Math,7,315,58,69,48,56
2021,Port Arthur ISD,Math,7,327,37,44,27,56
2021,Hamshire-Fannett ISD,Math,7,293,60,65,48,56
2021,Hardin-Jefferson ISD,Math,7,300,50,59,36,59
2021,Beaumont ISD,Math,8,853,42,48,30,56
2021,Nederland ISD,Math,8,214,58,65,45,59
2021,Port Arthur ISD,Math,8,288,33,39,16,55
2021,Hamshire-Fannett ISD,Math,8,30,66,73,55,56
2021,Hardin-Jefferson ISD,Math,8,278,50,58,36,60
2021,Beaumont ISD,Reading/ELA,3,901,49,55,37,58
2021,Nederland ISD,Reading/ELA,3,409,67,75,56,63
2021,Port Arthur ISD,Reading/ELA,3,161,41,48,29,59
2021,Hamshire-Fannett ISD,Reading/ELA,3,415,64,69,49,61
2021,Hardin-Jefferson ISD,Reading/ELA,3,430,53,60,43,64
2021,Beaumont ISD,Reading/ELA,4,739,45,53,26,62
2021,Nederland ISD,Reading/ELA,4,163,68,77,57,58
2021,Port Arthur ISD,Reading/ELA,4,295,41,47,29,62
2021,Hamshire-Fannett ISD,Reading/ELA,4,329,71,79,54,64
2021,Hardin-Jefferson ISD,Reading/ELA,4,224,61,68,50,60
2021,Beaumont ISD,Reading/ELA,5,809,43,49,28,60
2021,Nederland ISD,Reading/ELA,5,383,65,70,51,63
2021,Port Arthur ISD,Reading/ELA,5,255,44,54,25,61
2021,Hamshire-Fannett ISD,Reading/ELA,5,204,71,76,53,59
2021,Hardin-Jefferson ISD,Reading/ELA,5,201,58,67,48,64
2021,Beaumont ISD,Reading/ELA,6,853,44,49,32,58
2021,Nederland ISD,Reading/ELA,6,363,64,74,45,64
2021,Port Arthur ISD,Reading/ELA,6,305,42,48,23,63
2021,Hamshire-Fannett ISD,Reading/ELA,6,346,70,80,59,60
2021,Hardin-Jefferson ISD,Reading/ELA,6,324,58,65,40,60
2021,Beaumont ISD,Reading/ELA,7,870,47,52,31,62
2021,Nederland ISD,Reading/ELA,7,196,66,76,48,59
2021,Port Arthur ISD,Reading/ELA,7,434,36,43,18,62
2021,Hamshire-Fannett ISD,Reading/ELA,7,370,64,72,49,64
2021,Hardin-Jefferson ISD,Reading/ELA,7,264,54,61,35,64
2021,Beaumont ISD,Reading/ELA,8,976,49,59,36,62
2021,Nederland ISD,Reading/ELA,8,188,62,72,48,60
2021,Port Arthur ISD,Reading/ELA,8,345,41,52,28,63
2021,Hamshire-Fannett ISD,Reading/ELA,8,363,70,81,55,64
2021,Hardin-Jefferson ISD,Reading/ELA,8,311,58,68,41,58
2021,Beaumont ISD,Science,5,895,38,45,21,52
2021,Nederland ISD,Science,5,366,55,63,41,54
2021,Port Arthur ISD,Science,5,238,33,38,20,51
2021,Hamshire-Fannett ISD,Science,5,155,55,66,45,53
2021,Hardin-Jefferson ISD,Science,5,361,50,59,38,54
2021,Beaumont ISD,Science,8,850,33,39,16,55
2021,Nederland ISD,Science,8,187,57,63,44,56
2021,Port Arthur ISD,Science,8,318,28,37,10,56
2021,Hamshire-Fannett ISD,Science,8,242,55,66,43,50
2021,Hardin-Jefferson ISD,Science,8,494,45,55,34,54
2021,Beaumont ISD,Social Studies,8,856,39,49,22,54
2021,Nederland ISD,Social Studies,8,287,63,73,51,56
2021,Port Arthur ISD,Social Studies,8,343,34,40,21,56
2021,Hamshire-Fannett ISD,Social Studies,8,382,65,71,47,56
2021,Hardin-Jefferson ISD,Social Studies,8,344,48,57,33,58
2021,Beaumont ISD,Algebra I,EOC,873,36,47,26,59
2021,Nederland ISD,Algebra I,EOC,280,64,74,50,53
2021,Port Arthur ISD,Algebra I,EOC,365,38,49,26,55
2021,Hamshire-Fannett ISD,Algebra I,EOC,397,63,69,50,58
2021,Hardin-Jefferson ISD,Algebra I,EOC,229,48,58,32,56
2021,Beaumont ISD,English I,EOC,813,43,52,27,61
2021,Nederland ISD,English I,EOC,232,60,68,45,62
2021,Port Arthur ISD,English I,EOC,431,36,46,21,58
2021,Hamshire-Fannett ISD,English I,EOC,296,65,73,48,61
2021,Hardin-Jefferson ISD,English I,EOC,94,59,68,48,61
2021,Beaumont ISD,English II,EOC,819,45,53,32,62
2021,Nederland ISD,English II,EOC,157,67,78,48,63
2021,Port Arthur ISD,English II,EOC,419,45,51,27,65
2021,Hamshire-Fannett ISD,English II,EOC,351,65,73,52,66
2021,Hardin-Jefferson ISD,English II,EOC,425,58,67,41,64
2021,Beaumont ISD,Biology,EOC,799,38,45,21,58
2021,Nederland ISD,Biology,EOC,285,66,73,50,60
2021,Port Arthur ISD,Biology,EOC,249,33,41,18,60
2021,Hamshire-Fannett ISD,Biology,EOC,260,66,71,51,55
2021,Hardin-Jefferson ISD,Biology,EOC,164,56,61,42,57
2021,Beaumont ISD,U.S. History,EOC,972,50,58,32,60
2021,Nederland ISD,U.S. History,EOC,219,66,71,47,60
2021,Port Arthur ISD,U.S. History,EOC,167,42,53,31,60
2021,Hamshire-Fannett ISD,U.S. History,EOC,179,65,73,53,61
2021,Hardin-Jefferson ISD,U.S. History,EOC,279,59,70,46,59
2022,Beaumont ISD,Math,3,831,48,59,33,64
2022,Nederland ISD,Math,3,355,64,69,48,64
2022,Port Arthur ISD,Math,3,482,38,48,21,63
2022,Hamshire-Fannett ISD,Math,3,169,65,70,49,66
2022,Hardin-Jefferson ISD,Math,3,254,57,67,47,62
2022,Beaumont ISD,Math,4,940,50,56,40,62
2022,Nederland ISD,Math,4,494,65,70,54,66
2022,Port Arthur ISD,Math,4,455,43,54,30,62
2022,Hamshire-Fannett ISD,Math,4,308,65,71,46,64
2022,Hardin-Jefferson ISD,Math,4,285,57,63,47,65
2022,Beaumont ISD,Math,5,888,49,58,32,66
2022,Nederland ISD,Math,5,238,63,74,51,60
2022,Port Arthur ISD,Math,5,307,45,52,33,66
2022,Hamshire-Fannett ISD,Math,5,289,65,76,48,63
2022,Hardin-Jefferson ISD,Math,5,365,56,66,43,62
2022,Beaumont ISD,Math,6,774,46,56,32,64
2022,Nederland ISD,Math,6,326,69,77,58,61
2022,Port Arthur ISD,Math,6,199,39,50,25,60
2022,Hamshire-Fannett ISD,Math,6,243,68,79,52,62
2022,Hardin-Jefferson ISD,Math,6,187,58,67,43,64
2022,Beaumont ISD,Math,7,820,51,57,36,61
2022,Nederland ISD,Math,7,337,70,76,53,60
2022,Port Arthur ISD,Math,7,482,44,49,27,60
2022,Hamshire-Fannett ISD,Math,7,77,66,71,50,64
2022,Hardin-Jefferson ISD,Math,7,219,63,69,44,65
2022,Beaumont ISD,Math,8,998,44,53,29,66
2022,Nederland ISD,Math,8,299,64,70,54,64
2022,Port Arthur ISD,Math,8,408,42,52,23,60
2022,Hamshire-Fannett ISD,Math,8,429,71,76,57,64
2022,Hardin-Jefferson ISD,Math,8,425,61,70,51,61
2022,Beaumont ISD,Reading/ELA,3,816,50,56,35,66
2022,Nederland ISD,Reading/ELA,3,416,66,75,53,65
2022,Port Arthur ISD,Reading/ELA,3,365,43,50,27,64
2022,Hamshire-Fannett ISD,Reading/ELA,3,290,75,85,64,65
2022,Hardin-Jefferson ISD,Reading/ELA,3,159,64,75,51,69
2022,Beaumont ISD,Reading/ELA,4,840,48,56,38,65
2022,Nederland ISD,Reading/ELA,4,271,67,72,50,63
2022,Port Arthur ISD,Reading/ELA,4,319,41,46,24,63
2022,Hamshire-Fannett ISD,Reading/ELA,4,378,76,81,66,69
2022,Hardin-Jefferson ISD,Reading/ELA,4,252,66,71,49,69
2022,Beaumont ISD,Reading/ELA,5,894,48,58,33,69
2022,Nederland ISD,Reading/ELA,5,386,73,79,55,63
2022,Port Arthur ISD,Reading/ELA,5,275,49,60,39,67
2022,Hamshire-Fannett ISD,Reading/ELA,5,309,74,83,59,64
2022,Hardin-Jefferson ISD,Reading/ELA,5,328,64,71,47,68
2022,Beaumont ISD,Reading/ELA,6,803,47,58,36,65
2022,Nederland ISD,Reading/ELA,6,408,69,80,59,69
2022,Port Arthur ISD,Reading/ELA,6,83,48,56,37,65
2022,Hamshire-Fannett ISD,Reading/ELA,6,97,70,81,54,67
2022,Hardin-Jefferson ISD,Reading/ELA,6,403,65,73,50,63
2022,Beaumont ISD,Reading/ELA,7,919,54,60,43,67
2022,Nederland ISD,Reading/ELA,7,322,72,78,61,65
2022,Port Arthur ISD,Reading/ELA,7,357,47,54,31,67
2022,Hamshire-Fannett ISD,Reading/ELA,7,303,71,81,61,67
2022,Hardin-Jefferson ISD,Reading/ELA,7,373,62,73,44,66
2022,Beaumont ISD,Reading/ELA,8,875,54,65,41,69
2022,Nederland ISD,Reading/ELA,8,266,70,80,53,63
2022,Port Arthur ISD,Reading/ELA,8,277,42,48,28,66
2022,Hamshire-Fannett ISD,Reading/ELA,8,280,76,84,57,63
2022,Hardin-Jefferson ISD,Reading/ELA,8,229,62,71,47,67
2022,Beaumont ISD,Science,5,846,44,53,33,61
2022,Nederland ISD,Science,5,353,66,74,53,61
2022,Port Arthur ISD,Science,5,261,40,47,21,58
2022,Hamshire-Fannett ISD,Science,5,347,61,67,43,55
2022,Hardin-Jefferson ISD,Science,5,249,50,59,35,56
2022,Beaumont ISD,Science,8,945,44,49,32,55
2022,Nederland ISD,Science,8,164,61,68,50,56
2022,Port Arthur ISD,Science,8,314,34,39,17,60
2022,Hamshire-Fannett ISD,Science,8,243,62,73,44,57
2022,Hardin-Jefferson ISD,Science,8,243,58,68,44,58
2022,Beaumont ISD,Social Studies,8,820,41,49,23,59
2022,Nederland ISD,Social Studies,8,346,62,68,43,57
2022,Port Arthur ISD,Social Studies,8,352,43,50,32,63
2022,Hamshire-Fannett ISD,Social Studies,8,460,69,80,54,60
2022,Hardin-Jefferson ISD,Social Studies,8,297,59,69,45,59
2022,Beaumont ISD,Algebra I,EOC,993,45,50,34,62
2022,Nederland ISD,Algebra I,EOC,502,68,74,56,62
2022,Port Arthur ISD,Algebra I,EOC,257,43,50,33,59
2022,Hamshire-Fannett ISD,Algebra I,EOC,269,68,75,50,60
2022,Hardin-Jefferson ISD,Algebra I,EOC,343,61,67,48,62
2022,Beaumont ISD,English I,EOC,836,50,57,36,65
2022,Nederland ISD,English I,EOC,311,71,77,58,68
2022,Port Arthur ISD,English I,EOC,235,41,47,31,67
2022,Hamshire-Fannett ISD,English I,EOC,368,75,86,64,62
2022,Hardin-Jefferson ISD,English I,EOC,275,64,74,48,66
2022,Beaumont ISD,English II,EOC,867,56,67,42,66
2022,Nederland ISD,English II,EOC,341,73,81,63,68
2022,Port Arthur ISD,English II,EOC,250,48,54,33,65
2022,Hamshire-Fannett ISD,English II,EOC,261,70,76,57,70
2022,Hardin-Jefferson ISD,English II,EOC,310,62,71,46,68
2022,Beaumont ISD,Biology,EOC,940,43,50,24,65
2022,Nederland ISD,Biology,EOC,263,69,75,58,61
2022,Port Arthur ISD,Biology,EOC,403,41,48,28,60
2022,Hamshire-Fannett ISD,Biology,EOC,308,66,76,53,66
2022,Hardin-Jefferson ISD,Biology,EOC,282,60,69,46,62
2022,Beaumont ISD,U.S. History,EOC,758,50,57,32,69
2022,Nederland ISD,U.S. History,EOC,210,71,81,60,66
2022,Port Arthur ISD,U.S. History,EOC,206,44,49,27,64
2022,Hamshire-Fannett ISD,U.S. History,EOC,501,70,78,52,70
2022,Hardin-Jefferson ISD,U.S. History,EOC,167,59,68,42,68
2023,Beaumont ISD,Math,3,891,46,52,34,66
2023,Nederland ISD,Math,3,279,68,79,50,68
2023,Port Arthur ISD,Math,3,185,46,51,31,63
2023,Hamshire-Fannett ISD,Math,3,348,75,86,60,66
2023,Hardin-Jefferson ISD,Math,3,367,62,69,52,67
2023,Beaumont ISD,Math,4,797,52,58,41,67
2023,Nederland ISD,Math,4,362,70,80,52,65
2023,Port Arthur ISD,Math,4,334,47,57,35,65
2023,Hamshire-Fannett ISD,Math,4,299,74,84,61,63
2023,Hardin-Jefferson ISD,Math,4,207,57,63,47,64
2023,Beaumont ISD,Math,5,830,46,51,33,63
2023,Nederland ISD,Math,5,245,70,76,55,69
2023,Port Arthur ISD,Math,5,379,46,52,27,64
2023,Hamshire-Fannett ISD,Math,5,349,73,78,56,66
2023,Hardin-Jefferson ISD,Math,5,304,59,65,42,65
2023,Beaumont ISD,Math,6,798,52,60,39,64
2023,Nederland ISD,Math,6,309,71,77,56,65
2023,Port Arthur ISD,Math,6,376,42,47,23,69
2023,Hamshire-Fannett ISD,Math,6,438,68,73,56,68
2023,Hardin-Jefferson ISD,Math,6,386,59,69,46,69
2023,Beaumont ISD,Math,7,899,52,59,41,67
2023,Nederland ISD,Math,7,390,70,77,55,64
2023,Port Arthur ISD,Math,7,232,44,51,32,63
2023,Hamshire-Fannett ISD,Math,7,298,72,83,62,69
2023,Hardin-Jefferson ISD,Math,7,390,63,72,50,66
2023,Beaumont ISD,Math,8,828,48,54,38,66
2023,Nederland ISD,Math,8,434,67,75,56,63
2023,Port Arthur ISD,Math,8,263,41,51,25,66
2023,Hamshire-Fannett ISD,Math,8,228,69,76,58,65
2023,Hardin-Jefferson ISD,Math,8,190,64,75,54,67
2023,Beaumont ISD,Reading/ELA,3,889,50,61,31,67
2023,Nederland ISD,Reading/ELA,3,320,69,78,55,72
2023,Port Arthur ISD,Reading/ELA,3,228,48,57,31,70
2023,Hamshire-Fannett ISD,Reading/ELA,3,288,76,84,65,66
2023,Hardin-Jefferson ISD,Reading/ELA,3,193,66,74,55,71
2023,Beaumont ISD,Reading/ELA,4,935,50,59,40,70
2023,Nederland ISD,Reading/ELA,4,175,75,82,60,69
2023,Port Arthur ISD,Reading/ELA,4,278,51,60,38,66
2023,Hamshire-Fannett ISD,Reading/ELA,4,196,77,84,63,68
2023,Hardin-Jefferson ISD,Reading/ELA,4,178,64,73,54,69
2023,Beaumont ISD,Reading/ELA,5,937,48,58,35,69
2023,Nederland ISD,Reading/ELA,5,287,69,75,51,71
2023,Port Arthur ISD,Reading/ELA,5,311,47,54,32,69
2023,Hamshire-Fannett ISD,Reading/ELA,5,261,74,81,60,70
2023,Hardin-Jefferson ISD,Reading/ELA,5,437,60,68,46,66
2023,Beaumont ISD,Reading/ELA,6,911,49,56,38,68
2023,Nederland ISD,Reading/ELA,6,305,76,87,65,67
2023,Port Arthur ISD,Reading/ELA,6,332,49,59,36,69
2023,Hamshire-Fannett ISD,Reading/ELA,6,388,76,82,60,71
2023,Hardin-Jefferson ISD,Reading/ELA,6,216,67,76,57,67
2023,Beaumont ISD,Reading/ELA,7,935,54,64,43,70
2023,Nederland ISD,Reading/ELA,7,286,68,79,49,72
2023,Port Arthur ISD,Reading/ELA,7,377,44,49,27,67
2023,Hamshire-Fannett ISD,Reading/ELA,7,324,78,86,68,71
2023,Hardin-Jefferson ISD,Reading/ELA,7,367,60,70,49,68
2023,Beaumont ISD,Reading/ELA,8,995,49,60,31,71
2023,Nederland ISD,Reading/ELA,8,279,68,75,55,66
2023,Port Arthur ISD,Reading/ELA,8,259,44,54,31,70
2023,Hamshire-Fannett ISD,Reading/ELA,8,347,75,80,59,68
2023,Hardin-Jefferson ISD,Reading/ELA,8,356,62,69,52,70
2023,Beaumont ISD,Science,5,836,47,58,37,63
2023,Nederland ISD,Science,5,301,66,75,54,64
2023,Port Arthur ISD,Science,5,248,43,51,28,58
2023,Hamshire-Fannett ISD,Science,5,194,64,74,45,63
2023,Hardin-Jefferson ISD,Science,5,551,53,59,38,63
2023,Beaumont ISD,Science,8,852,44,50,26,62
2023,Nederland ISD,Science,8,169,64,72,48,59
2023,Port Arthur ISD,Science,8,313,40,46,26,63
2023,Hamshire-Fannett ISD,Science,8,279,68,75,56,60
2023,Hardin-Jefferson ISD,Science,8,331,55,64,40,62
2023,Beaumont ISD,Social Studies,8,881,44,53,31,61
2023,Nederland ISD,Social Studies,8,211,64,72,53,61
2023,Port Arthur ISD,Social Studies,8,215,38,46,19,60
2023,Hamshire-Fannett ISD,Social Studies,8,305,70,81,54,64
2023,Hardin-Jefferson ISD,Social Studies,8,172,61,69,48,60
2023,Beaumont ISD,Algebra I,EOC,885,46,57,31,66
2023,Nederland ISD,Algebra I,EOC,310,63,70,47,64
2023,Port Arthur ISD,Algebra I,EOC,265,43,52,28,66
2023,Hamshire-Fannett ISD,Algebra I,EOC,339,73,79,55,62
2023,Hardin-Jefferson ISD,Algebra I,EOC,196,62,68,48,61
2023,Beaumont ISD,English I,EOC,905,50,61,31,66
2023,Nederland ISD,English I,EOC,336,75,82,62,66
2023,Port Arthur ISD,English I,EOC,204,42,49,31,71
2023,Hamshire-Fannett ISD,English I,EOC,324,69,78,59,71
2023,Hardin-Jefferson ISD,English I,EOC,397,64,71,45,69
2023,Beaumont ISD,English II,EOC,979,58,67,40,73
2023,Nederland ISD,English II,EOC,353,78,84,66,69
2023,Port Arthur ISD,English II,EOC,176,50,61,32,72
2023,Hamshire-Fannett ISD,English II,EOC,324,72,78,56,70
2023,Hardin-Jefferson ISD,English II,EOC,257,65,70,52,72
2023,Beaumont ISD,Biology,EOC,761,47,52,31,63
2023,Nederland ISD,Biology,EOC,243,68,73,57,67
2023,Port Arthur ISD,Biology,EOC,318,44,54,27,66
2023,Hamshire-Fannett ISD,Biology,EOC,175,68,78,49,65
2023,Hardin-Jefferson ISD,Biology,EOC,355,59,65,43,68
2023,Beaumont ISD,U.S. History,EOC,1005,52,60,33,72
2023,Nederland ISD,U.S. History,EOC,343,72,77,56,71
2023,Port Arthur ISD,U.S. History,EOC,226,52,60,42,73
2023,Hamshire-Fannett ISD,U.S. History,EOC,113,78,89,66,70
2023,Hardin-Jefferson ISD,U.S. History,EOC,260,68,77,55,72
2024,Beaumont ISD,Math,3,911,46,54,31,61
2024,Nederland ISD,Math,3,207,64,75,54,59
2024,Port Arthur ISD,Math,3,356,38,48,25,61
2024,Hamshire-Fannett ISD,Math,3,376,61,67,50,64
2024,Hardin-Jefferson ISD,Math,3,202,59,64,47,62
2024,Beaumont ISD,Math,4,792,42,53,23,63
2024,Nederland ISD,Math,4,366,62,69,47,59
2024,Port Arthur ISD,Math,4,302,38,44,28,61
2024,Hamshire-Fannett ISD,Math,4,418,66,72,51,59
2024,Hardin-Jefferson ISD,Math,4,386,53,61,35,64
2024,Beaumont ISD,Math,5,892,43,49,30,60
2024,Nederland ISD,Math,5,228,60,65,49,59
2024,Port Arthur ISD,Math,5,497,42,52,29,62
2024,Hamshire-Fannett ISD,Math,5,275,63,68,48,60
2024,Hardin-Jefferson ISD,Math,5,251,59,65,46,62
2024,Beaumont ISD,Math,6,835,47,55,34,64
2024,Nederland ISD,Math,6,322,60,69,49,62
2024,Port Arthur ISD,Math,6,236,40,51,28,60
2024,Hamshire-Fannett ISD,Math,6,254,65,75,54,60
2024,Hardin-Jefferson ISD,Math,6,251,58,63,42,64
2024,Beaumont ISD,Math,7,800,41,49,31,58
2024,Nederland ISD,Math,7,275,62,73,45,61
2024,Port Arthur ISD,Math,7,177,34,42,21,62
2024,Hamshire-Fannett ISD,Math,7,372,66,72,52,64
2024,Hardin-Jefferson ISD,Math,7,190,54,65,39,64
2024,Beaumont ISD,Math,8,832,45,54,30,62
2024,Nederland ISD,Math,8,254,63,72,48,63
2024,Port Arthur ISD,Math,8,268,39,48,20,64
2024,Hamshire-Fannett ISD,Math,8,336,67,76,53,59
2024,Hardin-Jefferson ISD,Math,8,204,52,61,38,62
2024,Beaumont ISD,Reading/ELA,3,848,43,50,33,65
2024,Nederland ISD,Reading/ELA,3,346,66,77,52,64
2024,Port Arthur ISD,Reading/ELA,3,393,40,47,22,62
2024,Hamshire-Fannett ISD,Reading/ELA,3,230,67,77,48,65
2024,Hardin-Jefferson ISD,Reading/ELA,3,246,58,63,47,62
2024,Beaumont ISD,Reading/ELA,4,933,42,48,23,62
2024,Nederland ISD,Reading/ELA,4,298,69,76,54,65
2024,Port Arthur ISD,Reading/ELA,4,404,44,55,34,61
2024,Hamshire-Fannett ISD,Reading/ELA,4,336,70,75,54,65
2024,Hardin-Jefferson ISD,Reading/ELA,4,245,58,63,42,65
2024,Beaumont ISD,Reading/ELA,5,840,42,47,28,65
2024,Nederland ISD,Reading/ELA,5,307,65,71,52,65
2024,Port Arthur ISD,Reading/ELA,5,213,40,49,25,67
